data,faixa_etaria,frequencia_que_leva_pet,avaliacao_atendimento,avaliacao_marcar_hora,demonstracao_cuidado,pos_atendimento,recebeu_mensagem_promocionais,porque_continuar_cliente,melhorias_empresa,nota_empresa,comentarios_adicionais
23/10/2025,De 18 a 25 anos,Semanalmente ou quinzenalmente,5,5,5,0,As vezes,Confiança e segurança,Estou satisfeita,10,Nao
28/10/2025,De 18 a 25 anos,Levo quando necessário,4,4,5,3,As vezes,Preço justo,Respostas mais rápidas no Instagram,9,Nao
28/10/2025,De 18 a 25 anos,Semanalmente ou quinzenalmente,4,3,4,4,As vezes,Empatia e carinho com o pet,Acredito que atualmente já me satisfaz da forma que é ,10,Nao
28/10/2025,De 18 a 25 anos,Semanalmente ou quinzenalmente,5,5,5,5,As vezes,Empatia e carinho com o pet,Preço acessível ,10,Nao
28/10/2025,De 18 a 25 anos,Levei apenas uma vez,5,5,5,4,As vezes,Qualidade no atendimento,Melhorar o preço ,9,Nao
28/10/2025,De 18 a 25 anos,Semanalmente ou quinzenalmente,5,5,5,5,Sempre,Qualidade no atendimento,"Tudo já é tão bom, que não vejo o que acrescentar ",10,Nao
28/10/2025,De 18 a 25 anos,Semanalmente ou quinzenalmente,5,5,5,5,Sempre,Empatia e carinho com o pet,mais promoções semanais,10,serviço excelente!!
28/10/2025,De 18 a 25 anos,Levo quando necessário,3,4,4,4,Nunca,Preço justo,"Nenhum, vou continuar sendo cliente ",7,Nao
28/10/2025,De 41 a 60 anos,Levo quando necessário,5,5,5,5,As vezes,Qualidade no atendimento,"Dando cartão de descontos a cada 10 vezes de atendimento,  ganha uma tosa por exemplo ",10,"Ótimo atendimento e cuidado com meu pet, estão de parabéns!"
28/10/2025,De 18 a 25 anos,Semanalmente ou quinzenalmente,4,4,4,5,Nunca,Preço justo,Estou satisfeita ,10,Nao
28/10/2025,De 26 a 40 anos,Levo quando necessário,5,3,5,5,As vezes,Empatia e carinho com o pet,nenhum ponto,10,meu cachorro pingo ama ir pro petshop doggo
28/10/2025,De 18 a 25 anos,Levo quando necessário,4,4,4,4,As vezes,Confiança e segurança,rapidez no atendimento,10,Nao
28/10/2025,De 18 a 25 anos,Mensalmente,4,4,4,4,As vezes,Empatia e carinho com o pet,Sorteios ,8,Nao
28/10/2025,De 41 a 60 anos,Mensalmente,3,3,4,4,As vezes,Preço justo,Reapostas mais rápidas,8,Nao
28/10/2025,De 18 a 25 anos,Levo quando necessário,4,3,4,3,As vezes,Preço justo,Estou satisfeita,9,Nao
28/10/2025,De 41 a 60 anos,Levei apenas uma vez,4,3,5,4,Nunca,Empatia e carinho com o pet,Promoções mensais,9,Nao
28/10/2025,De 18 a 25 anos,Levei apenas uma vez,4,3,4,4,As vezes,Preço justo,Sem resposta ,8,Nao
28/10/2025,De 26 a 40 anos,Levo quando necessário,4,5,2,3,As vezes,Confiança e segurança,melhor valor,8,Nao
10/11/2025,De 18 a 25 anos,Mensalmente,3,4,4,5,Sempre,Confiança e segurança,Me agradaria mais ainda se tivesse mais interações nas redes sociais,9,Nao
10/11/2025,De 18 a 25 anos,Levo quando necessário,4,4,4,0,As vezes,Confiança e segurança,Qualidade do atendimento ,8,Nao
10/11/2025,De 26 a 40 anos,Levei apenas uma vez,5,5,5,5,Sempre,Localização conveniênte,Promoções ,10,Nao
10/11/2025,De 26 a 40 anos,Levo quando necessário,4,5,5,4,As vezes,Preço justo,Mais rapidez no atendimento,8,Nao
10/11/2025,De 41 a 60 anos,Levo quando necessário,4,3,3,3,As vezes,Preço justo,Planos para banho e tosa,8,Nao
10/11/2025,Mais de 60 anos,Semanalmente ou quinzenalmente,4,3,5,5,As vezes,Localização conveniênte,Nada,10,Nao
10/11/2025,De 26 a 40 anos,Mensalmente,2,4,4,3,Sempre,Qualidade no atendimento,Promoções ,10,Nao
10/11/2025,De 18 a 25 anos,Mensalmente,4,4,4,4,As vezes,Empatia e carinho com o pet,responder mais rapido o whatsapp,9,Nao
10/11/2025,De 26 a 40 anos,Levei apenas uma vez,3,3,4,0,As vezes,Preço justo,algum tipo de promoção ,7,Nao
10/11/2025,De 41 a 60 anos,Semanalmente ou quinzenalmente,5,5,5,5,Sempre,Empatia e carinho com o pet,"não tenho reclamações, a empresa é ótima",10,Nao
10/11/2025,Menor de 18 anos,Semanalmente ou quinzenalmente,4,4,5,4,As vezes,Confiança e segurança,entregar meu pet mais rápido,9,Nao
11/11/2025,Mais de 60 anos,Levo quando necessário,5,4,5,4,Sempre,Qualidade no atendimento,responder mais rápido,8,Nao
11/11/2025,De 41 a 60 anos,Mensalmente,3,5,4,4,As vezes,Preço justo,mais promoções,8,Nao
11/11/2025,De 26 a 40 anos,Levo quando necessário,4,4,4,4,Sempre,Confiança e segurança,Não tenho o que reclamar,9,Nao
11/11/2025,De 41 a 60 anos,Levei apenas uma vez,3,3,3,3,As vezes,Preço justo,Não encontrei problemas,10,Nao
11/11/2025,Mais de 60 anos,Levo quando necessário,4,4,5,5,Sempre,Confiança e segurança,Mais agilidade no atendimento,8,Nao
11/11/2025,De 26 a 40 anos,Levo quando necessário,4,5,5,5,As vezes,Confiança e segurança,entregar o pet mais rápido,10,Nao
11/11/2025,Mais de 60 anos,Levei apenas uma vez,4,4,4,4,Nunca,Preço justo,Responder mais rápido,9,Nao
11/11/2025,De 41 a 60 anos,Levo quando necessário,3,4,4,3,As vezes,Qualidade no atendimento,respostas mais rápidas,8,Nao
11/11/2025,De 41 a 60 anos,Mensalmente,4,5,4,5,Sempre,Qualidade no atendimento,Acho que não tem nada para melhorar,10,Nao
11/11/2025,De 18 a 25 anos,Mensalmente,5,5,5,5,Sempre,Empatia e carinho com o pet,A loja está de parabéns,10,Nao
11/11/2025,Mais de 60 anos,Levo quando necessário,4,5,4,4,As vezes,Confiança e segurança,Mais rapidez,9,Nao
11/11/2025,Mais de 60 anos,Mensalmente,3,3,3,4,As vezes,Preço justo,Sem reclamações ,9,Nao
11/11/2025,De 26 a 40 anos,Levei apenas uma vez,4,4,4,4,Nunca,Qualidade no atendimento,Poderiam ter mais promoções ,8,Nao
11/11/2025,Menor de 18 anos,Levei apenas uma vez,3,4,3,5,As vezes,Localização conveniênte,Nao encontrei problemas,10,Nao
